Date,Open,High,Low,Close,Volume
2021-07-21,27747,27880,27440,27548,514113600.0
2021-07-26,27990,28036,27789,27833,545421000.0
2021-07-27,27911,28036,27862,27970,516997200.0
2021-07-28,27674,27809,27466,27581,570860800.0
2021-07-29,27722,27798,27663,27782,677832300.0
2021-07-30,27677,27699,27272,27283,706422900.0
2021-08-02,27493,27834,27493,27781,600886700.0
2021-08-03,27580,27723,27492,27641,579446000.0
2021-08-04,27612,27636,27489,27584,675054200.0
2021-08-05,27526,27740,27526,27728,559202500.0
2021-08-06,27709,27888,27709,27820,563739200.0
2021-08-10,27887,28128,27808,27888,614308700.0
2021-08-11,28045,28145,27975,28070,671465300.0
2021-08-12,28177,28279,28006,28015,579364800.0
2021-08-13,28038,28069,27949,27977,558181400.0
2021-08-16,27806,27833,27429,27523,571879600.0
2021-08-17,27666,27750,27424,27424,495698500.0
2021-08-18,27418,27668,27347,27585,500506700.0
2021-08-19,27398,27504,27258,27281,651283500.0
2021-08-20,27238,27316,26956,27013,758033700.0
2021-08-23,27193,27541,27193,27494,567821600.0
2021-08-24,27653,27817,27653,27732,570723200.0
2021-08-25,27768,27897,27684,27724,514638700.0
2021-08-26,27793,27827,27684,27742,484909500.0
2021-08-27,27581,27670,27481,27641,492117000.0
2021-08-30,27867,27918,27656,27789,586304400.0
2021-08-31,27690,28158,27602,28089,758539300.0
2021-09-01,28179,28454,28179,28451,648036200.0
2021-09-02,28522,28626,28412,28543,601424400.0
2021-09-03,28626,29149,28607,29128,748758400.0
2021-09-06,29501,29704,29469,29659,682786200.0
2021-09-07,29883,30047,29838,29916,751542000.0
2021-09-08,29819,30241,29790,30181,825313500.0
2021-09-09,29959,30097,29909,30008,788045400.0
2021-09-10,30089,30381,30064,30381,888238900.0
2021-09-13,30372,30447,30230,30447,646296200.0
2021-09-14,30584,30795,30505,30670,790954300.0
2021-09-15,30408,30573,30347,30511,685556300.0
2021-09-16,30606,30622,30205,30323,698636700.0
2021-09-17,30491,30540,30453,30500,978602700.0
2021-09-21,30021,30051,29832,29839,763112500.0
2021-09-22,29744,29866,29573,29639,689911900.0
2021-09-24,30141,30276,30110,30248,845845200.0
2021-09-27,30277,30414,30197,30240,746356400.0
2021-09-28,30142,30206,30005,30183,898059700.0
2021-09-29,29611,29676,29332,29544,946521600.0
2021-09-30,29569,29622,29311,29452,990270300.0
2021-10-01,29235,29393,28680,28771,821613800.0
2021-10-04,29044,29044,28344,28444,764007300.0
2021-10-05,28050,28058,27460,27822,881941200.0
2021-10-06,28033,28209,27293,27528,1001882800.0
2021-10-07,27911,28015,27641,27678,795512000.0
2021-10-08,28031,28319,28020,28048,826656700.0
2021-10-11,27977,28581,27899,28498,722981600.0
2021-10-12,28458,28468,28166,28230,663191200.0
2021-10-13,28085,28364,27993,28140,639333000.0
2021-10-14,28264,28576,28235,28550,647531500.0
2021-10-15,28787,29082,28726,29068,663478700.0
2021-10-18,29093,29144,28925,29025,625648900.0
2021-10-19,29117,29272,29076,29215,576447900.0
2021-10-20,29385,29489,29222,29255,661082500.0
2021-10-21,29152,29220,28689,28708,591458200.0
2021-10-22,28578,28989,28547,28804,602059200.0
