Date,Open,High,Low,Close,aClose,Volume
2021-04-13,10150,10200,10085,10110,10110,8080600
2021-04-14,10170,10185,9952,9960,9960,7204000
2021-04-15,9958,10160,9945,10150,10150,7658200
2021-04-16,10195,10200,10070,10080,10080,5848900
2021-04-19,10055,10100,9970,10005,10005,5395300
2021-04-20,9900,9945,9802,9821,9821,9220400
2021-04-21,9700,10040,9653,9922,9922,15285000
2021-04-22,10030,10150,9961,10100,10100,11369400
2021-04-23,9999,10055,9915,10005,10005,7416800
2021-04-26,10050,10200,9988,10135,10135,7904400
2021-04-27,10190,10220,10040,10040,10040,6493300
2021-04-28,9981,9989,9861,9891,9891,9338600
2021-04-30,9918,10025,9861,9885,9885,9480500
2021-05-06,9910,10090,9841,10040,10040,9662000
2021-05-07,10025,10100,9959,10000,10000,6737400
2021-05-10,10015,10200,10015,10170,10170,6908100
2021-05-11,9970,10010,9480,9508,9508,19606400
2021-05-12,9600,9612,9110,9180,9180,25808000
2021-05-13,8810,8895,8380,8467,8467,26507000
2021-05-14,8467,8765,8466,8528,8528,19473000
2021-05-17,8678,8680,8320,8431,8431,14314800
2021-05-18,8470,8697,8460,8647,8647,13914600
2021-05-19,8431,8549,8331,8470,8470,14031800
2021-05-20,8508,8606,8406,8500,8500,13086000
2021-05-21,8648,8699,8485,8505,8505,13408300
2021-05-24,8400,8460,8285,8315,8315,12176600
2021-05-25,8385,8444,8327,8360,8360,10693600
2021-05-26,8267,8341,8208,8274,8274,11547000
2021-05-27,8253,8280,8092,8092,8092,34042500
2021-05-28,8250,8400,8173,8388,8388,18449400
2021-05-31,8335,8400,8221,8256,8256,11048700
2021-06-01,8280,8288,8130,8162,8162,10233200
2021-06-02,8100,8200,7983,8109,8109,13708700
2021-06-03,8163,8321,8145,8208,8208,11106800
2021-06-04,8130,8151,8061,8102,8102,9450600
2021-06-07,8200,8239,8126,8153,8153,7847000
2021-06-08,8106,8109,7996,8019,8019,9055200
2021-06-09,7987,8100,7982,8073,8073,7805700
2021-06-10,8091,8123,8004,8022,8022,7940300
2021-06-11,8018,8100,7947,8000,8000,10982300
2021-06-14,8084,8092,7991,8056,8056,5152900
2021-06-15,8069,8080,7985,8042,8042,7332500
2021-06-16,8005,8019,7968,8009,8009,6436500
2021-06-17,7981,8009,7800,7897,7897,9856600
2021-06-18,7935,7942,7801,7834,7834,10786300
2021-06-21,7571,7659,7461,7559,7559,12692800
2021-06-22,7750,7750,7603,7702,7702,9509900
2021-06-23,7770,7798,7621,7688,7688,9721700
2021-06-24,7700,8030,7685,7862,7862,15019800
2021-06-25,7997,8000,7820,7931,7931,11270600
2021-06-28,7990,7992,7895,7925,7925,7786000
2021-06-29,7838,7855,7735,7755,7755,7240800
2021-06-30,7772,7920,7735,7775,7775,8429100
2021-07-01,7774,7774,7655,7726,7726,7463400
2021-07-02,7735,7845,7701,7812,7812,7058400
2021-07-05,7637,7654,7337,7391,7391,17485800
2021-07-06,7420,7544,7415,7465,7465,8758300
2021-07-07,7340,7473,7295,7419,7419,10178800
2021-07-08,7463,7486,7380,7380,7380,8113700
2021-07-09,7254,7341,7129,7327,7327,15327400
2021-07-12,7460,7550,7435,7540,7540,9538000
2021-07-13,7645,7733,7613,7635,7635,9010500
2021-07-14,7638,7698,7611,7626,7626,6377400
2021-07-15,7650,7652,7521,7534,7534,5848100
2021-07-16,7468,7532,7438,7481,7481,6038400
2021-07-19,7301,7388,7268,7342,7342,6742500
2021-07-20,7202,7305,7192,7227,7227,7434000
2021-07-21,7365,7396,7221,7261,7261,7053300
2021-07-26,7240,7285,7077,7106,7106,10941800
2021-07-27,7002,7120,6940,7088,7088,11223800
2021-07-28,6900,6938,6706,6745,6745,19015900
2021-07-29,6903,7021,6852,7020,7020,13364000
2021-07-30,6966,7007,6820,6837,6837,10887400
2021-08-02,6850,6988,6840,6962,6962,7319500
2021-08-03,6938,7027,6871,6911,6911,7614200
2021-08-04,6811,6905,6771,6837,6837,8191300
2021-08-05,6813,6855,6755,6781,6781,6238100
2021-08-06,6813,6848,6735,6770,6770,5312900
2021-08-10,6819,6909,6771,6831,6831,8389900
2021-08-11,6915,6961,6646,6711,6711,11394400
2021-08-12,6759,6780,6652,6654,6654,7754300
2021-08-13,6666,6680,6583,6647,6647,8453400
2021-08-16,6580,6591,6462,6505,6505,8919500
2021-08-17,6535,6550,6418,6418,6418,6713700
2021-08-18,6336,6549,6311,6466,6466,9929600
2021-08-19,6420,6509,6382,6382,6382,8643900
2021-08-20,6326,6370,6129,6152,6152,14358400
2021-08-23,6140,6220,5996,6086,6086,14618800
2021-08-24,6186,6309,6150,6179,6179,11902700
2021-08-25,6379,6419,6151,6213,6213,16965000
2021-08-26,6221,6277,6171,6207,6207,8932300
2021-08-27,6198,6198,6136,6181,6181,8251100
2021-08-30,6234,6252,6126,6152,6152,8322500
2021-08-31,6125,6260,6036,6181,6181,20562200
2021-09-01,6234,6315,6146,6204,6204,16520900
2021-09-02,6266,6284,6136,6159,6159,12054600
2021-09-03,6106,6277,6076,6200,6200,15908200
2021-09-06,6268,6350,6204,6320,6320,17849600
2021-09-07,6440,6948,6390,6943,6943,35878500
2021-09-08,7230,7680,7060,7265,7265,68852100
2021-09-09,6979,7209,6958,7125,7125,26200400
2021-09-10,7153,7344,7082,7179,7179,27781600
2021-09-13,7167,7217,6998,7076,7076,16978500
2021-09-14,7112,7157,7007,7041,7041,14234900
2021-09-15,6940,6945,6605,6634,6634,26860900
2021-09-16,6590,6719,6401,6542,6542,21112200
2021-09-17,6490,6695,6430,6661,6661,23014900
2021-09-21,6261,6380,6243,6329,6329,20246100
2021-09-22,6303,6592,6301,6449,6449,22779000
2021-09-24,6649,6679,6567,6627,6627,14496200
2021-09-27,6643,6760,6602,6624,6624,13187300
2021-09-28,6627,6794,6621,6782,6782,14541700
2021-09-29,6692,6710,6593,6683,6683,13643100
2021-09-30,6698,6709,6480,6480,6480,14513000
2021-10-01,6420,6557,6353,6428,6428,13779200
2021-10-04,6451,6464,6213,6266,6266,14081200
